dataset,model,rule,reference,metric,delta,ci_low,ci_high,effectiveness_verdict,claim_of_improvement
esci,minilm,lexical_descending,BM25,Recall@100,0.068239104605853,0.0530481518771217,0.0842003719703775,improves,supported
esci,minilm,lexical_descending,raw_hybrid_seven_mean,nDCG@10,0.0001364856927826,-0.0021853219820889,0.0024521872207418,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_descending,raw_hybrid_seven_mean,nDCG@20,7.148217509532465e-05,-0.0019147247547624,0.0019352152071769,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_descending,raw_hybrid_seven_mean,cNDCG@10,-0.0012991140743087,-0.003419064056394,0.0006831908930624,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_descending,raw_hybrid_seven_mean,cNDCG@20,-0.0012334745307132,-0.0029412199517801,0.0002348835674317,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_descending,raw_hybrid_seven_mean,Recall@20,0.0006396520828678,-0.0023078831727686,0.0036579790831424,inconclusive; equivalence not established,inconclusive
esci,minilm,lexical_descending,raw_hybrid_seven_mean,Recall@100,0.0008880680849618,-0.0005837984101207,0.0026544386529535,inconclusive; equivalence not established,inconclusive
esci,minilm,field_priority_type,field_priority_type,nDCG@10,0.040751043335846,0.024068042272136,0.0569752203332369,improves,supported
esci,minilm,field_priority_type,field_priority_type,nDCG@20,0.0378411474659203,0.0233531888714762,0.0518567260055527,improves,supported
esci,minilm,field_priority_type,field_priority_type,cNDCG@10,0.0081962978376029,-0.0023883054348546,0.0186898595324193,inconclusive; equivalence not established,inconclusive
esci,minilm,field_priority_type,field_priority_type,cNDCG@20,0.0036212737219831,-0.0040325139198286,0.0110292861279724,inconclusive; equivalence not established,inconclusive
esci,minilm,field_priority_type,field_priority_type,Recall@20,0.0401174070679568,0.0209407595447803,0.0595051973614363,improves,supported
esci,minilm,field_priority_type,field_priority_type,Recall@100,0.0318457406124529,0.0198360389240764,0.0449971663472994,improves,supported
esci,minilm,field_priority_type,BM25,nDCG@10,0.0151021654997494,0.0020733036608068,0.0278493905026504,improves,supported
esci,minilm,field_priority_type,BM25,nDCG@20,0.0240682959027581,0.0122661579576975,0.0357640806943488,improves,supported
esci,minilm,field_priority_type,BM25,cNDCG@10,0.0139831135933007,0.0024921137920809,0.025553408328394,improves,supported
esci,minilm,field_priority_type,BM25,cNDCG@20,0.0076334506226192,-0.0008371500273369,0.0161174856022964,inconclusive; equivalence not established,inconclusive
esci,minilm,field_priority_type,BM25,Recall@20,0.0380703564919968,0.0210341393154999,0.055065870896432,improves,supported
esci,minilm,field_priority_type,BM25,Recall@100,0.0670970500820349,0.0519378991356484,0.0831472393552942,improves,supported
esci,minilm,field_priority_type,raw_hybrid_seven_mean,nDCG@10,-0.0007255855532554,-0.0036318481362961,0.001780881071508,inconclusive; equivalence not established,inconclusive
esci,minilm,field_priority_type,raw_hybrid_seven_mean,nDCG@20,-0.0012547475288032,-0.0039884944502317,0.0009719780612832,inconclusive; equivalence not established,inconclusive
esci,minilm,field_priority_type,raw_hybrid_seven_mean,cNDCG@10,-0.00062901970417,-0.0035007302944784,0.0017890697901058,inconclusive; equivalence not established,inconclusive
esci,minilm,field_priority_type,raw_hybrid_seven_mean,cNDCG@20,-0.0008916649656369,-0.003526523733342,0.0012024400615033,inconclusive; equivalence not established,inconclusive
esci,minilm,field_priority_type,raw_hybrid_seven_mean,Recall@20,9.88987922258425e-06,-0.0024806875532582,0.0023344253017246,inconclusive; equivalence not established,inconclusive
esci,minilm,field_priority_type,raw_hybrid_seven_mean,Recall@100,-0.0002539864388561,-0.0018115299893588,0.001281738279931,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_ascending,lexical_ascending,nDCG@10,0.0085085563526095,-0.0065526283429715,0.0236539572942793,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_ascending,lexical_ascending,nDCG@20,0.0077604920203402,-0.0063647463135825,0.0215064373714068,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_ascending,lexical_ascending,cNDCG@10,-0.0086927891266605,-0.0196435732692187,0.0022874725268572,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_ascending,lexical_ascending,cNDCG@20,-0.0082567031966414,-0.0167955024741697,0.0003193857835236,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_ascending,lexical_ascending,Recall@20,0.0116618712036832,-0.0067527401060799,0.0297948716482923,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_ascending,lexical_ascending,Recall@100,0.0050932592653199,-0.0032468942489934,0.0134802139149033,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_ascending,BM25,nDCG@10,0.0480906954377952,0.0360365092822679,0.0601839794360628,improves,supported
esci,bge_base,lexical_ascending,BM25,nDCG@20,0.0558502917405582,0.0454016218641754,0.0663395864253808,improves,supported
esci,bge_base,lexical_ascending,BM25,cNDCG@10,0.0234217522796758,0.0131825786318091,0.0338472542242286,improves,supported
esci,bge_base,lexical_ascending,BM25,cNDCG@20,0.0154607438766635,0.0079619504095322,0.0232490209043384,improves,supported
esci,bge_base,lexical_ascending,BM25,Recall@20,0.0732270661463254,0.0573092087297571,0.0901979581887014,improves,supported
esci,bge_base,lexical_ascending,BM25,Recall@100,0.0872250231632049,0.0706335546184873,0.1046263084477145,improves,supported
esci,bge_base,lexical_ascending,raw_hybrid_seven_mean,nDCG@10,0.0017535579607619,-0.0006871272823066,0.0044304186108547,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_ascending,raw_hybrid_seven_mean,nDCG@20,0.0020035706916784,0.0001529342999879,0.0042584518895817,improves,supported
esci,bge_base,lexical_ascending,raw_hybrid_seven_mean,cNDCG@10,0.0019988923205165,-0.0001937734760003,0.004513645041027,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_ascending,raw_hybrid_seven_mean,cNDCG@20,0.0013182616290605,-0.000312061500273,0.0034351443565528,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_ascending,raw_hybrid_seven_mean,Recall@20,0.0016954129276193,-0.0002539186575204,0.0037564831510573,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_ascending,raw_hybrid_seven_mean,Recall@100,-0.0005568837854527,-0.0016932483444972,0.000420254740868,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_descending,lexical_descending,nDCG@10,0.0099748659183766,-0.005042833570231,0.0250949246239254,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_descending,lexical_descending,nDCG@20,0.0077611539130486,-0.005929334640418,0.0213250248729638,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_descending,lexical_descending,cNDCG@10,-0.0108111875989936,-0.0218466341644876,8.108046240217973e-05,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_descending,lexical_descending,cNDCG@20,-0.0076067567481145,-0.0160549609578357,0.0007533600808195,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_descending,lexical_descending,Recall@20,0.0116517401788052,-0.0065324766992016,0.0296483706100328,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_descending,lexical_descending,Recall@100,0.0053875138878821,-0.0028483377146231,0.0137263929150621,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_descending,BM25,nDCG@10,0.0462477536668633,0.0340521813529058,0.0582709788966305,improves,supported
esci,bge_base,lexical_descending,BM25,nDCG@20,0.053887833739373,0.0433040949921805,0.0646289247228601,improves,supported
esci,bge_base,lexical_descending,BM25,cNDCG@10,0.0197568682468044,0.0092699514126521,0.0302003093485389,improves,supported
esci,bge_base,lexical_descending,BM25,cNDCG@20,0.0140696560804619,0.0064246477533959,0.0219449348864011,improves,supported
esci,bge_base,lexical_descending,BM25,Recall@20,0.0707631683505313,0.0548286691268999,0.0876941763244137,improves,supported
esci,bge_base,lexical_descending,BM25,Recall@100,0.087197593363731,0.0705565879013365,0.10475668221626,improves,supported
esci,bge_base,lexical_descending,raw_hybrid_seven_mean,nDCG@10,-8.938381016989381e-05,-0.0025738003873234,0.0025365934042146,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_descending,raw_hybrid_seven_mean,nDCG@20,4.1112690493233305e-05,-0.0019283968738558,0.0022946763076134,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_descending,raw_hybrid_seven_mean,cNDCG@10,-0.0016659917123548,-0.0041283033472531,0.0009903684811333,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_descending,raw_hybrid_seven_mean,cNDCG@20,-7.282616714104755e-05,-0.00190335165548,0.0020860546858342,inconclusive; equivalence not established,inconclusive
esci,bge_base,lexical_descending,raw_hybrid_seven_mean,Recall@20,-0.0007684848681747,-0.0032590832623736,0.0017055873511874,inconclusive; equivalence not established,inconclusive
