query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
72,fold in half table,product_type,174,85,1.0,0.06134969325153374,0.11764705882352941,0.8823529411764706,1.0,0.9735859552961229,0.12269938650306748,0.2235294117647059,0.7764705882352941,1.0,0.9330000607786864,0.294478527607362,0.5058823529411764,0.49411764705882355,0.96,0.6972015555871202
73,certified international melamine,product_type,181,0,1.0,0.06289308176100629,,,1.0,1.0,0.11949685534591195,,,0.95,1.0,0.2893081761006289,,,0.92,0.4863710922608663
74,serta kleinmon,brand_entity_proxy,87,3,0.8727269478872166,0.09523809523809523,1.0,0.0,1.0,0.8769319636405019,0.16666666666666666,1.0,0.0,0.85,0.9189415069397184,0.39285714285714285,1.0,0.0,0.72,0.027885908144668747
75,sheffield home bath set,product_type,231,4,0.4700182601018591,0.051094890510948905,0.0,1.0,0.7,0.5788037469624102,0.06569343065693431,0.0,1.0,0.45,0.7023228161410793,0.18248175182481752,0.0,1.0,0.52,0.5531949685359768
76,46 inch closet door,attribute_constraint,135,2,0.33002054374994694,0.05454545454545454,0.0,1.0,0.4,0.37276631050168835,0.10909090909090909,0.0,1.0,0.55,0.4541093435978782,0.2545454545454545,0.0,1.0,0.56,0.3495484744049137
77,sancroft armchair,brand_entity_proxy,661,1,0.6943559465628248,0.012102874432677761,0.0,1.0,0.8,0.7787676299523247,0.025718608169440244,0.0,1.0,0.85,0.865751383782762,0.057488653555219364,0.0,1.0,0.76,0.014483583967922372
78,dorel vanity,brand_entity_proxy,948,3,0.5159958223394444,0.011723329425556858,0.0,1.0,1.0,0.6012688855148508,0.022274325908558032,0.0,1.0,1.0,0.7130362879771501,0.053927315357561546,0.0,1.0,0.98,-0.15881923168407738
79,palram harmony greenhouses,product_type,122,0,1.0,0.09523809523809523,,,1.0,0.9275523895786346,0.17142857142857143,,,1.0,0.9125487025509893,0.42857142857142855,,,1.0,0.21338800421617357
81,orren ellis l shape desk,multi_constraint,233,75,0.6524692913981867,0.045662100456621,0.06666666666666667,0.9333333333333333,1.0,0.6587313546041176,0.091324200913242,0.13333333333333333,0.8666666666666667,1.0,0.5809040839859373,0.2237442922374429,0.21333333333333335,0.7866666666666666,0.98,0.13934096781206484
82,bathroom vanity with counter space,multi_constraint,668,53,0.37574719213263447,0.012232415902140673,0.0,1.0,0.8,0.3826158333029775,0.024464831804281346,0.018867924528301886,0.9811320754716981,0.8,0.3998829506980937,0.06574923547400612,0.09433962264150944,0.9056603773584906,0.86,0.1995866897452158
84,full metal bed rose gold,multi_constraint,299,1,0.6943559465628248,0.03349282296650718,0.0,1.0,0.7,0.7488749162616919,0.06220095693779904,0.0,1.0,0.7,0.7676338378300689,0.14354066985645933,0.0,1.0,0.68,0.4601750190405224
85,3/4 size mattress,attribute_constraint,152,0,1.0,0.02830188679245283,,,0.3,1.0,0.05660377358490566,,,0.3,1.0,0.16981132075471697,,,0.36,0.7823347467945084
86,aloe vera plant pot,product_type,142,15,0.524461289859338,0.07246376811594203,0.2,0.8,1.0,0.5944583405558702,0.14492753623188406,0.4,0.6,1.0,0.7684381106257399,0.36231884057971014,0.7333333333333333,0.2666666666666667,1.0,0.3466097620043995
87,vlad modular sectional,product_type,221,0,1.0,0.04524886877828054,,,1.0,1.0,0.09049773755656108,,,1.0,1.0,0.21266968325791855,,,0.94,
88,rose gold lounge,attribute_constraint,159,1,0.370281570412027,0.027777777777777776,1.0,0.0,0.8,0.43415572838275096,0.046296296296296294,1.0,0.0,0.65,0.6035583320077428,0.12962962962962962,1.0,0.0,0.52,0.13532820179385455
89,whimsical solar lights,product_type,142,68,0.7078087372830466,0.044444444444444446,0.058823529411764705,0.9411764705882353,0.6,0.6750312593576508,0.08888888888888889,0.08823529411764706,0.9117647058823529,0.6,0.653696785932537,0.16296296296296298,0.19117647058823528,0.8088235294117647,0.46,0.15204728145162444
90,filaret outdoor sofa,product_type,242,0,1.0,0.024896265560165973,,,0.6,1.0,0.04979253112033195,,,0.6,1.0,0.0954356846473029,,,0.46,-0.04103273397879208
91,industrial pipe dining  table,style,686,8,0.5235002054212251,0.013432835820895522,0.25,0.75,0.9,0.6373407702431466,0.028358208955223882,0.375,0.625,0.95,0.7697127845664955,0.06119402985074627,0.625,0.375,0.82,0.12982688682346602
92,antique silver entry table,attribute_constraint,170,0,0.8115558478722846,0.012048192771084338,,,0.3,0.8783842972085543,0.024096385542168676,,,0.25,0.933615682159078,0.060240963855421686,,,0.24,-0.09252328367259738
93,outdoor sectional dining,product_type,233,58,0.4781738085681532,0.013574660633484163,0.017241379310344827,0.9827586206896551,0.3,0.4737548202816547,0.027149321266968326,0.034482758620689655,0.9655172413793104,0.3,0.4903693264138787,0.09049773755656108,0.06896551724137931,0.9310344827586207,0.4,0.21512863124334128
94,kohler whitehaven farmhouse kitchen sink,style,197,4,0.6769125582181964,0.06666666666666667,0.25,0.75,1.0,0.7432303612797106,0.13333333333333333,0.25,0.75,1.0,0.8898822656106901,0.3333333333333333,1.0,0.0,1.0,0.7282281954868186
95,entertainment stand end table,product_type,820,49,0.3333333333333333,0.007361963190184049,0.0,1.0,0.6,0.3333333333333334,0.01717791411042945,0.0,1.0,0.7,0.3363986890194633,0.049079754601226995,0.0,1.0,0.8,-0.20163276354884127
97,regner power loom red,attribute_constraint,197,1,0.6943559465628248,0.05102040816326531,0.0,1.0,1.0,0.7787676299523247,0.10204081632653061,0.0,1.0,1.0,0.865751383782762,0.25510204081632654,0.0,1.0,1.0,0.031006298639134355
98,gracie oaks 62 oller 14 ceiling fan,multi_constraint,124,0,1.0,0.08849557522123894,,,1.0,1.0,0.17699115044247787,,,1.0,1.0,0.4424778761061947,,,1.0,0.4774243304724228
99,arched christmas tree,product_type,121,0,1.0,0.09009009009009009,,,1.0,1.0,0.18018018018018017,,,1.0,1.0,0.44144144144144143,,,0.98,0.4623180726462868
