dataset,method,candidate_K,query_id,n_highest,Recall@20,returned_condensed_NDCG@10,unique_candidates
esci,Original,50,92663,4,0.5,0.5645830476393907,50
esci,Original,50,92720,10,1.0,0.6612169896091658,50
esci,Original,50,92810,1,1.0,0.665986068074361,50
esci,Original,50,92928,5,0.4,0.5531464700081437,50
esci,Original,50,93169,5,1.0,0.686713492075949,50
esci,Original,50,93559,21,0.5238095238095238,0.7931839509327833,50
esci,Original,50,93654,10,1.0,0.8134402893935617,50
esci,Original,50,93758,9,0.8888888888888888,0.7693400211383045,50
esci,Original,50,94456,13,0.7692307692307693,1.0,50
esci,Original,50,94846,3,1.0,0.9245818091738397,50
esci,Original,50,94878,13,0.7692307692307693,0.875023800513801,50
esci,Original,50,94932,13,0.15384615384615385,0.3699587984865388,50
esci,Original,50,95116,8,0.875,0.904332577569439,50
esci,Original,50,95136,2,1.0,0.8406716506104458,50
esci,Original,50,95453,11,1.0,0.9148568823583791,50
esci,Original,50,95494,18,0.4444444444444444,0.8064836836345346,50
esci,Original,50,95886,2,0.5,0.5167464339961543,50
esci,Original,50,95917,3,1.0,0.8748374107163047,50
esci,Original,50,96045,11,0.8181818181818182,0.8714843703674766,50
esci,Original,50,96401,1,0.0,0.08126998125202331,50
esci,Original,50,96535,28,0.6785714285714286,0.9294415579191924,50
esci,Original,50,96819,8,1.0,0.8949149166678394,50
esci,Original,50,98201,6,1.0,0.897617883552293,50
esci,Original,50,98425,1,1.0,0.8676641462577378,50
esci,Original,50,98526,6,1.0,0.8019173293381171,50
esci,Original,50,99391,6,0.3333333333333333,0.4935232796777482,50
esci,Original,50,99846,4,1.0,0.7447530723008043,50
esci,Original,50,100084,6,1.0,0.9064951819544043,50
esci,Original,50,100330,10,0.7,0.6646683213002597,50
esci,Original,50,100469,9,0.2222222222222222,0.39968546501125046,50
esci,Original,50,100474,4,0.0,0.06064698794833612,50
esci,Original,50,100637,7,1.0,0.8155830368816606,50
esci,Original,50,100807,27,0.6296296296296297,0.9337457765456111,50
esci,Original,50,101683,14,0.7142857142857143,0.6201683542818585,50
esci,Original,50,101841,5,1.0,0.8552109176077188,50
esci,Original,50,102215,1,1.0,0.4563612248713605,50
esci,Original,50,102308,3,1.0,0.8089322749235465,50
esci,Original,50,102732,9,0.3333333333333333,0.4507218313644019,50
esci,Original,50,102895,4,0.25,0.22395650820139962,50
esci,Original,50,102991,4,1.0,0.7133819526311956,50
esci,Original,50,103099,7,1.0,0.5576380461318564,50
esci,Original,50,103248,13,1.0,0.9052116356304495,50
esci,Original,50,103500,7,1.0,0.9749709670210781,50
esci,Original,50,103612,15,0.7333333333333333,0.77990823370192,50
esci,Original,50,103705,5,0.6,0.6826683773730994,50
esci,Original,50,104116,32,0.4375,0.6152372100183022,50
esci,Original,50,104212,3,1.0,0.7085828748811241,50
esci,Original,50,104375,10,0.3,0.45374257454118555,50
esci,Original,50,104485,16,0.5,0.8658207697202407,50
esci,Original,50,104556,10,0.9,0.8357804136936722,50
esci,Original,50,104929,2,0.5,0.41750416350046915,50
esci,Original,50,105336,12,0.6666666666666666,0.8441320299865965,50
esci,Original,50,105354,3,1.0,0.9726551135062571,50
esci,Original,50,106080,8,1.0,0.8690888569963028,50
esci,Original,50,106387,6,0.8333333333333334,0.8546537973026864,50
esci,Original,50,106839,3,1.0,1.0000000000000002,50
esci,Original,50,107789,8,0.875,0.6341816099407754,50
esci,Original,50,107880,3,0.6666666666666666,0.6902470303076396,50
esci,Original,50,107900,13,1.0,0.94037119889105,50
esci,Original,50,108093,6,1.0,0.8240706778767725,50
esci,Original,50,108571,4,1.0,0.9260342504423125,50
esci,Original,50,108769,8,0.375,0.3905464320475269,50
esci,Original,50,108964,2,1.0,1.0,50
esci,Original,50,109159,8,1.0,0.8632108157661935,50
esci,Original,50,109658,9,1.0,0.5482635573160519,50
esci,Original,50,110355,8,1.0,0.9252331603577357,50
esci,Original,50,110443,3,0.6666666666666666,0.7050586103785957,50
