query_id,cNDCG@10,cNDCG@20,Recall@20,HighestRecall@20,RelevantHidden@20,VI@20_query,has_highest
42445,1.0,1.0,1.0,1.0,0.0,0.0,True
42964,0.6356700821008192,0.710551471696318,0.7777777777777778,0.6666666666666666,0.33333333333333337,0.08333333333333333,True
42968,0.7278047319955178,0.8331023094364868,0.9285714285714286,1.0,0.0,0.0,True
43579,0.7535807562476313,0.8738700910837387,0.1875,0.09090909090909091,0.9090909090909091,0.0,True
43948,0.7804196640553216,0.8221503703015606,0.6875,1.0,0.0,0.0,True
43961,0.38445723825083145,0.39360750707325204,0.9375,1.0,0.0,0.0,True
43983,0.8573094267085266,0.8580135286855366,0.8,1.0,0.0,0.0,True
44424,0.6310710807396247,0.6510103121791824,0.5,0.75,0.25,0.0,True
44706,0.48046805727450836,0.7190371116755023,0.625,0.3333333333333333,0.6666666666666667,0.0,True
44816,0.8364747259130397,0.953275828277685,0.06666666666666667,0.08333333333333333,0.9166666666666666,0.0,True
44845,0.5870577746335781,0.7337227425206797,0.35714285714285715,0.42857142857142855,0.5714285714285714,0.0,True
44960,0.9061595192741448,0.9607483408757551,1.0,1.0,0.0,0.0,True
45294,0.38685280723454163,0.38685280723454163,1.0,1.0,0.0,0.0,True
45464,0.6342450652648612,0.6783309644715332,0.625,0.6875,0.3125,0.0625,True
45588,0.9376331347193576,0.9465762314375374,0.26666666666666666,0.75,0.25,0.0,True
45713,0.67175898907361,0.9061164781166363,0.0,0.0,1.0,0.0,True
45745,0.934408318780155,0.9952013516613916,1.0,1.0,0.0,0.0,True
45843,0.8569665962794416,0.8569665962794416,0.7142857142857143,0.6666666666666666,0.33333333333333337,0.0,True
45928,1.0,1.0,0.26666666666666666,,,,False
45990,0.6158147855026681,0.8616814004120862,0.75,0.7777777777777778,0.2222222222222222,0.1111111111111111,True
46008,0.5537944390042949,0.7513536436017552,0.9375,1.0,0.0,0.0,True
46089,0.9529550222986923,0.9532459058924081,0.47368421052631576,1.0,0.0,0.0,True
46097,0.8410589983105862,0.9223600524161957,0.9375,1.0,0.0,0.0,True
46149,0.9294415579191924,0.9829418672322847,1.0,1.0,0.0,0.0,True
46177,0.4027194270813166,0.5267981724129848,0.6086956521739131,0.6666666666666666,0.33333333333333337,0.0,True
46471,0.7567259847451956,0.927559157360946,0.8125,0.9,0.09999999999999998,0.0,True
46910,0.8600156925032526,0.9335176431598559,0.7857142857142857,0.8571428571428571,0.1428571428571429,0.14285714285714285,True
47106,0.7790821501160035,0.9002249835514154,0.42857142857142855,0.5555555555555556,0.4444444444444444,0.0,True
47213,0.5922022176069877,0.7265246748415723,0.5625,0.75,0.25,0.0,True
47217,0.934408318780155,0.9904813071164753,0.9375,0.9333333333333333,0.06666666666666665,0.0,True
47526,0.934408318780155,0.8191682312573517,0.4722222222222222,0.625,0.375,0.16666666666666666,True
47631,0.9370154196830378,0.8557243833653584,0.11428571428571428,0.14285714285714285,0.8571428571428572,0.0,True
47857,0.9223857137111114,0.8767545722620698,0.5128205128205128,0.6538461538461539,0.34615384615384615,0.11538461538461539,True
47892,0.5266356151896426,0.7631250354336497,0.0,0.0,1.0,0.0,True
48397,0.8120392201968388,0.9262488052315028,0.25,0.25,0.75,0.0,True
48914,0.3405781838904256,0.46439975712759757,0.4857142857142857,0.5,0.5,0.09090909090909091,True
48929,0.9363792118010483,0.7361761408449301,0.42857142857142855,0.47368421052631576,0.5263157894736843,0.0,True
49077,0.8357804136936722,0.9457073811187517,0.5454545454545454,0.5454545454545454,0.4545454545454546,0.0,True
49201,0.8223176659650407,0.9385318209779949,0.26666666666666666,0.3,0.7,0.0,True
49481,0.4359347176547006,0.4359347176547006,0.5,1.0,0.0,0.0,True
49972,0.6702667611238531,0.833406328214805,0.875,1.0,0.0,0.16666666666666666,True
50118,0.934408318780155,0.9853123008706237,0.8125,0.8461538461538461,0.15384615384615385,0.0,True
50311,0.8223176659650407,0.7941254801023204,0.4878048780487805,0.7777777777777778,0.2222222222222222,0.1111111111111111,True
50356,0.7276658103818407,0.8217615569585622,1.0,1.0,0.0,0.0,True
50494,0.9831670225955842,0.9845591114129215,0.5555555555555556,0.7142857142857143,0.2857142857142857,0.0,True
